127.0.0.1 - - [28/Apr/2022:11:07:21 +0900] "GET / HTTP/1.1" 200 31645
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET / HTTP/1.1" 200 31645
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/plugins/jQuery/jQuery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/css/skins/_all-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/css/AdminLTE.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/plugins/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/img/user2-160x160.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/img/user7-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/img/user4-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:23 +0900] "GET /resources/dist/img/user3-128x128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:42 +0900] "GET /board/register HTTP/1.1" 200 32733
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:50 +0900] "GET /board/listAll HTTP/1.1" 200 58609
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:02 +0900] "GET /board/read?bno=5 HTTP/1.1" 200 33554
